innings,player_dismissed,date,season,batting_team,striker,wicket_type,bowling_team,runs_of_bat,over,match_no,match_id,noballs,extras,legbyes,bowler,byes,fielder,venue,wide
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,0,0.3,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,1,0.4,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Saha,,PBKS,4,0.5,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Saha,,PBKS,1,0.6,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Saha,,PBKS,1,1.1,37,202437,0,0,0,Arshdeep Singh,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,0,1.2,37,202437,0,0,0,Arshdeep Singh,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,1,1.3,37,202437,0,0,0,Arshdeep Singh,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Saha,,PBKS,1,1.4,37,202437,0,0,0,Arshdeep Singh,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,1,1.5,37,202437,0,0,0,Arshdeep Singh,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Saha,,PBKS,1,1.6,37,202437,0,0,0,Arshdeep Singh,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Saha,,PBKS,0,2.1,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Saha,,PBKS,1,2.2,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,0,2.3,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,4,2.4,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,4,2.5,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,0,2.6,37,202437,0,0,0,Kagiso Rabada,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Saha,,PBKS,1,3.1,37,202437,0,0,0,Arshdeep Singh,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,1,3.2,37,202437,0,0,0,Arshdeep Singh,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Saha,,PBKS,2,3.3,37,202437,0,0,0,Arshdeep Singh,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,Saha,"Apr 21, 2024",2024,GT,Saha,caught,PBKS,0,3.4,37,202437,0,0,0,Arshdeep Singh,0,Ashutosh Sharma,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,4,3.5,37,202437,0,0,0,Arshdeep Singh,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,0,3.6,37,202437,0,0,0,Arshdeep Singh,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,0,4.1,37,202437,0,0,0,Harshal Patel,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,4,4.2,37,202437,0,0,0,Harshal Patel,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,1,4.3,37,202437,0,0,0,Harshal Patel,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,0,4.4,37,202437,0,0,0,Harshal Patel,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,1,4.5,37,202437,0,0,0,Harshal Patel,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,1,4.6,37,202437,0,0,0,Harshal Patel,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,1,5.1,37,202437,0,0,0,Sam Curran,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,0,5.2,37,202437,0,0,0,Sam Curran,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,0,5.3,37,202437,0,0,0,Sam Curran,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,1,5.4,37,202437,0,0,0,Sam Curran,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,2,5.5,37,202437,0,0,0,Sam Curran,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,4,5.6,37,202437,0,0,0,Sam Curran,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,1,6.1,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,2,6.2,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,1,6.3,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,1,6.4,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,0,6.5,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Shubman Gill,,PBKS,2,6.6,37,202437,0,0,0,Harpreet Brar,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,0,7.1,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
2,,"Apr 21, 2024",2024,GT,Sai Sudharsan,,PBKS,0,7.2,37,202437,0,0,0,Liam Livingstone,0,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Chandigarh",0
